id,class,reactants>reagents>production
US06750216B2,2,[C:15](=[O:16])([CH2:17][c:18]1[cH:19][cH:20][c:21]([Cl:22])[c:23]([Cl:24])[cH:25]1)[OH:30].[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH2:6][C@H:7]([CH2:8][N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[NH:14][CH2:26][C@H:27]1[CH2:28][OH:29]>>[CH3:1][O:2][C:3](=[O:4])[N:5]1[CH2:6][C@H:7]([CH2:8][N:9]2[CH2:10][CH2:11][CH2:12][CH2:13]2)[N:14]([C:15](=[O:16])[CH2:17][c:18]2[cH:19][cH:20][c:21]([Cl:22])[c:23]([Cl:24])[cH:25]2)[CH2:26][C@H:27]1[CH2:28][OH:29]
US20080269210A1,3,[CH3:1][C@H:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]3[n:16][c:17]([Cl:45])[n:25][c:26]([N:27]4[CH2:28][CH2:29][O:30][CH2:31][CH2:32]4)[c:33]3[s:34]2)[cH:35]1.[c:18]1([B:40]2[O:39][C:37]([CH3:36])([CH3:38])[C:42]([CH3:43])([CH3:44])[O:41]2)[cH:19][cH:20][c:21]([NH2:22])[n:23][cH:24]1>>[CH3:1][C@H:2]([OH:3])[CH2:4][NH:5][C:6](=[O:7])[c:8]1[cH:9][cH:10][cH:11][c:12](-[c:13]2[cH:14][c:15]3[n:16][c:17](-[c:18]4[cH:19][cH:20][c:21]([NH2:22])[n:23][cH:24]4)[n:25][c:26]([N:27]4[CH2:28][CH2:29][O:30][CH2:31][CH2:32]4)[c:33]3[s:34]2)[cH:35]1
US05620987,9,[CH3:1][CH:2]([CH3:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][C@:10]1([C:11]([NH2:12])=[O:13])[C:15](=[O:14])[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][CH2:5][N:6]1[CH2:7][CH2:8][CH2:9][C@H:10]1[C:11]([NH2:12])=[O:13]
US20060276464A1,6,[CH3:1][N:2]([CH2:3][CH2:4][NH:5][S:6](=[O:7])(=[O:8])[c:9]1[cH:10][c:11]([S:12](=[O:13])(=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[cH:21][cH:22][c:23]1[C:24]([F:25])([F:26])[F:27])[C:28](=[O:29])[NH:30][C@H:31]1[CH2:32][CH2:33][N:34]([C:41]([O:40][C:37]([CH3:36])([CH3:38])[CH3:39])=[O:42])[CH2:35]1>>[CH3:1][N:2]([CH2:3][CH2:4][NH:5][S:6](=[O:7])(=[O:8])[c:9]1[cH:10][c:11]([S:12](=[O:13])(=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[cH:21][cH:22][c:23]1[C:24]([F:25])([F:26])[F:27])[C:28](=[O:29])[NH:30][C@H:31]1[CH2:32][CH2:33][NH:34][CH2:35]1
US20040121965A1,2,[C:19](=[O:20])([C@@H:21]([N:22]([CH3:23])[C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30])[C:31]([CH3:32])([CH3:33])[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)[OH:45].[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6]([CH3:7])=[CH:8]/[C@H:9]([CH:10]([CH3:11])[CH3:12])[N:13]([CH3:14])[C:15](=[O:16])[C@@H:17]([NH2:18])[C:40]([CH3:41])([CH3:42])[S:43][CH3:44]>>[CH3:1][CH2:2][O:3][C:4](=[O:5])/[C:6]([CH3:7])=[CH:8]/[C@H:9]([CH:10]([CH3:11])[CH3:12])[N:13]([CH3:14])[C:15](=[O:16])[C@@H:17]([NH:18][C:19](=[O:20])[C@@H:21]([N:22]([CH3:23])[C:24](=[O:25])[O:26][C:27]([CH3:28])([CH3:29])[CH3:30])[C:31]([CH3:32])([CH3:33])[c:34]1[cH:35][cH:36][cH:37][cH:38][cH:39]1)[C:40]([CH3:41])([CH3:42])[S:43][CH3:44]
US08975254B2,2,[C:19](=[O:20])([c:21]1[cH:22][s:23][cH:24][n:25]1)[OH:26].[CH3:1][C@@H:2]([CH2:3][n:4]1[cH:5][cH:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([C:12]#[N:13])[c:14]([Cl:15])[cH:16]2)[n:17]1)[NH2:18]>>[CH3:1][C@@H:2]([CH2:3][n:4]1[cH:5][cH:6][c:7](-[c:8]2[cH:9][cH:10][c:11]([C:12]#[N:13])[c:14]([Cl:15])[cH:16]2)[n:17]1)[NH:18][C:19](=[O:20])[c:21]1[cH:22][s:23][cH:24][n:25]1
US20060111347A1,8,[OH:1][CH2:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([c:8]1[N+:9](=[O:10])[O-:11])[CH2:12][CH2:13][CH2:14][C@H:15]2[NH:16][C:17](=[O:18])[C:19]([F:20])([F:21])[F:22]>>[O:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([c:8]1[N+:9](=[O:10])[O-:11])[CH2:12][CH2:13][CH2:14][C@H:15]2[NH:16][C:17](=[O:18])[C:19]([F:20])([F:21])[F:22]
US20150126490A1,1,[CH3:1][N:2]([CH2:3][C@@H:4]([c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[cH:11]1)[OH:30])[C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29].[NH:12]1[C:13](=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[C:21]1=[O:22]>>[CH3:1][N:2]([CH2:3][C@H:4]([c:5]1[cH:6][cH:7][cH:8][c:9]([Cl:10])[cH:11]1)[N:12]1[C:13](=[O:14])[c:15]2[cH:16][cH:17][cH:18][cH:19][c:20]2[C:21]1=[O:22])[C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29]
US20060094767A1,1,[CH2:1]=[O:33].[NH:2]([c:3]1[cH:4][cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13]1)[CH:14]1[CH2:15][CH2:16][N:17]([CH2:18][C@@:19]2([CH3:20])[CH2:21][n:22]3[cH:23][c:24]([N+:25](=[O:26])[O-:27])[n:28][c:29]3[O:30]2)[CH2:31][CH2:32]1>>[CH3:1][N:2]([c:3]1[cH:4][cH:5][c:6]([O:7][C:8]([F:9])([F:10])[F:11])[cH:12][cH:13]1)[CH:14]1[CH2:15][CH2:16][N:17]([CH2:18][C@@:19]2([CH3:20])[CH2:21][n:22]3[cH:23][c:24]([N+:25](=[O:26])[O-:27])[n:28][c:29]3[O:30]2)[CH2:31][CH2:32]1
US06329396B1,6,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[C:8]([F:9])[F:10])[C:11]([F:12])([F:13])[F:14])[cH:15][c:16]1[CH2:17][NH:18][C@H:19]1[CH2:20][CH2:21][CH2:22][N:23]([C:36]([O:35][C:32]([CH3:31])([CH3:33])[CH3:34])=[O:37])[C@H:24]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([C:7](=[C:8]([F:9])[F:10])[C:11]([F:12])([F:13])[F:14])[cH:15][c:16]1[CH2:17][NH:18][C@H:19]1[CH2:20][CH2:21][CH2:22][NH:23][C@H:24]1[c:25]1[cH:26][cH:27][cH:28][cH:29][cH:30]1
US05885979,6,[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([C@H:8]2[O:9][C@H:10]([CH2:11][C:12](=[O:13])[O:14][CH2:35][CH3:34])[C:15](=[O:16])[N:17]([CH2:18][C:19]([CH3:20])([CH3:21])[CH3:22])[c:23]3[cH:24][cH:25][c:26]([Cl:27])[cH:28][c:29]32)[c:30]([O:31][CH3:32])[cH:33]1>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][cH:6][c:7]([C@H:8]2[O:9][C@H:10]([CH2:11][C:12](=[O:13])[OH:14])[C:15](=[O:16])[N:17]([CH2:18][C:19]([CH3:20])([CH3:21])[CH3:22])[c:23]3[cH:24][cH:25][c:26]([Cl:27])[cH:28][c:29]32)[c:30]([O:31][CH3:32])[cH:33]1
US20080318923A1,2,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[Cl:52])[c:45]([O:46][C:47]([F:48])([F:49])[F:50])[cH:51]1.[NH:10]1[C:11](=[O:12])[C:13]([c:14]2[cH:15][cH:16][cH:17][cH:18][c:19]2[O:20][CH3:21])([N:22]2[CH2:23][CH2:24][CH2:25][CH2:26][C@H:27]2[C:28](=[O:29])[O:30][CH2:31][c:32]2[cH:33][cH:34][cH:35][cH:36][cH:37]2)[c:38]2[cH:39][c:40]([Cl:41])[cH:42][cH:43][c:44]21>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([S:7](=[O:8])(=[O:9])[N:10]2[C:11](=[O:12])[C:13]([c:14]3[cH:15][cH:16][cH:17][cH:18][c:19]3[O:20][CH3:21])([N:22]3[CH2:23][CH2:24][CH2:25][CH2:26][C@H:27]3[C:28](=[O:29])[O:30][CH2:31][c:32]3[cH:33][cH:34][cH:35][cH:36][cH:37]3)[c:38]3[cH:39][c:40]([Cl:41])[cH:42][cH:43][c:44]32)[c:45]([O:46][C:47]([F:48])([F:49])[F:50])[cH:51]1
US07592347B2,6,[CH3:1][CH:2]([CH3:3])[N:4]1[CH2:5][CH2:6][N:7]([C:8](=[O:9])[CH:10]2[CH2:11][CH2:12][N:13]([C:24]([O:23][C:20]([CH3:19])([CH3:21])[CH3:22])=[O:25])[CH2:14][CH2:15]2)[C@@H:16]([CH3:17])[CH2:18]1>>[CH3:1][CH:2]([CH3:3])[N:4]1[CH2:5][CH2:6][N:7]([C:8](=[O:9])[CH:10]2[CH2:11][CH2:12][NH:13][CH2:14][CH2:15]2)[C@@H:16]([CH3:17])[CH2:18]1
US20150080393A1,6,[CH3:1][c:2]1[cH:3][cH:4][n:5](-[c:6]2[cH:7][c:8]([Cl:9])[cH:10][cH:11][c:12]2[C@@H:13]([O:14][c:15]2[cH:16][c:17]([N:18]3[CH2:19][CH2:20][C:21]4([CH2:22][CH2:23][NH:24][CH:25]([C:26](=[O:27])[O:28][CH3:41])[CH2:29]4)[CH2:30][CH2:31]3)[n:32][c:33]([NH2:34])[n:35]2)[C:36]([F:37])([F:38])[F:39])[n:40]1>>[CH3:1][c:2]1[cH:3][cH:4][n:5](-[c:6]2[cH:7][c:8]([Cl:9])[cH:10][cH:11][c:12]2[C@@H:13]([O:14][c:15]2[cH:16][c:17]([N:18]3[CH2:19][CH2:20][C:21]4([CH2:22][CH2:23][NH:24][CH:25]([C:26](=[O:27])[OH:28])[CH2:29]4)[CH2:30][CH2:31]3)[n:32][c:33]([NH2:34])[n:35]2)[C:36]([F:37])([F:38])[F:39])[n:40]1
US20080194549A1,1,[CH3:1][CH:2]([CH3:3])[NH2:4].[CH:5]([C@@H:6]1[CH2:7][N:8]([C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[CH2:16][C@H:17]1[C:18]([CH3:19])([CH3:20])[O:21][SiH2:22][C:23]([CH3:24])([CH3:25])[CH3:26])=[O:27]>>[CH3:1][CH:2]([CH3:3])[NH:4][CH2:5][C@@H:6]1[CH2:7][N:8]([C:9](=[O:10])[O:11][C:12]([CH3:13])([CH3:14])[CH3:15])[CH2:16][C@H:17]1[C:18]([CH3:19])([CH3:20])[O:21][SiH2:22][C:23]([CH3:24])([CH3:25])[CH3:26]
US20140315881A1,2,[C:8](=[O:9])([CH2:10][c:11]1[cH:12][cH:13][c:14]2[o:15][c:16]([C:17](=[O:18])[c:19]3[cH:20][cH:21][n:22][cH:23][c:24]3[CH3:25])[cH:26][c:27]2[cH:28]1)[OH:38].[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]([NH2:7])[c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[c:35]([CH3:36])[cH:37]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([C@@H:6]([NH:7][C:8](=[O:9])[CH2:10][c:11]2[cH:12][cH:13][c:14]3[o:15][c:16]([C:17](=[O:18])[c:19]4[cH:20][cH:21][n:22][cH:23][c:24]4[CH3:25])[cH:26][c:27]3[cH:28]2)[c:29]2[cH:30][cH:31][cH:32][cH:33][cH:34]2)[c:35]([CH3:36])[cH:37]1
US20120190679A1,2,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1([C:10](=[O:11])[OH:38])[CH2:24][CH2:25][N:26]([c:27]2[n:28][cH:29][n:30][c:31]3[nH:32][cH:33][cH:34][c:35]23)[CH2:36][CH2:37]1.[NH2:12][C@@H:13]([CH2:14][CH2:15][OH:16])[c:17]1[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C:9]1([C:10](=[O:11])[NH:12][C@@H:13]([CH2:14][CH2:15][OH:16])[c:17]2[cH:18][cH:19][c:20]([Cl:21])[cH:22][cH:23]2)[CH2:24][CH2:25][N:26]([c:27]2[n:28][cH:29][n:30][c:31]3[nH:32][cH:33][cH:34][c:35]23)[CH2:36][CH2:37]1
US08063099B2,2,[C:23](=[O:24])([c:25]1[cH:26][cH:27][cH:28][c:29]2[c:30]1[NH:31][CH2:32][CH2:33][O:34]2)[OH:36].[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[s:8][c:9]([CH3:10])[n:11][c:12]2[C:13](=[O:14])[N:15]2[CH2:16][C@@H:17]3[CH2:18][C@@H:19]3[C@H:20]2[CH2:21][NH2:22])[cH:35]1>>[CH3:1][c:2]1[cH:3][cH:4][cH:5][c:6](-[c:7]2[s:8][c:9]([CH3:10])[n:11][c:12]2[C:13](=[O:14])[N:15]2[CH2:16][C@@H:17]3[CH2:18][C@@H:19]3[C@H:20]2[CH2:21][NH:22][C:23](=[O:24])[c:25]2[cH:26][cH:27][cH:28][c:29]3[c:30]2[NH:31][CH2:32][CH2:33][O:34]3)[cH:35]1
US20120142633A1,2,[CH3:1][O:2][CH2:3][C:4](=[O:5])[Cl:38].[NH2:6][C@H:7]1[CH2:8][CH2:9][C@H:10]([NH:11][C:12](=[O:13])[c:14]2[c:15]([CH3:16])[nH:17][c:18]3[c:19](-[c:20]4[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]4[O:27][CH2:28][CH:29]4[CH2:30][CH2:31]4)[cH:32][cH:33][n:34][c:35]23)[CH2:36][CH2:37]1>>[CH3:1][O:2][CH2:3][C:4](=[O:5])[NH:6][C@H:7]1[CH2:8][CH2:9][C@H:10]([NH:11][C:12](=[O:13])[c:14]2[c:15]([CH3:16])[nH:17][c:18]3[c:19](-[c:20]4[cH:21][c:22]([F:23])[cH:24][cH:25][c:26]4[O:27][CH2:28][CH:29]4[CH2:30][CH2:31]4)[cH:32][cH:33][n:34][c:35]23)[CH2:36][CH2:37]1
US20090143592A1,6,[CH3:1][C:2]([CH3:3])([CH3:4])[C@@H:5]1[CH2:6][CH2:7][C@H:8]([CH:9]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]2)[c:25]2[cH:26][cH:27][c:28]([C:29](=[O:30])[NH:31][CH2:32][CH2:33][C:34](=[O:35])[O:36][CH2:42][CH3:41])[cH:37][cH:38]2)[CH2:39][CH2:40]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[C@H:5]1[CH2:6][CH2:7][C@@H:8]([CH:9]([NH:10][C:11](=[O:12])[NH:13][c:14]2[cH:15][cH:16][c:17]([O:18][C:19]([F:20])([F:21])[F:22])[cH:23][cH:24]2)[c:25]2[cH:26][cH:27][c:28]([C:29](=[O:30])[NH:31][CH2:32][CH2:33][C:34](=[O:35])[OH:36])[cH:37][cH:38]2)[CH2:39][CH2:40]1
US08071592B2,1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][c:9](=[O:10])[n:11]([CH2:12][CH:13]=[O:34])[c:32]2[cH:33]1.[NH:14]1[CH2:15][C@H:16]([OH:17])[C@H:18]([CH2:19][NH:20][C:21](=[O:22])[O:23][CH2:24][c:25]2[cH:26][cH:27][cH:28][cH:29][cH:30]2)[CH2:31]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[cH:7][cH:8][c:9](=[O:10])[n:11]([CH2:12][CH2:13][N:14]3[CH2:15][C@H:16]([OH:17])[C@H:18]([CH2:19][NH:20][C:21](=[O:22])[O:23][CH2:24][c:25]4[cH:26][cH:27][cH:28][cH:29][cH:30]4)[CH2:31]3)[c:32]2[cH:33]1
US20140088029A1,1,[C@H:7]1([Br:35])[O:8][C@H:9]([CH2:10][O:11][C:12]([CH3:13])=[O:14])[C@@H:15]([O:16][C:17]([CH3:18])=[O:19])[C@H:20]([O:21][C:22]([CH3:23])=[O:24])[C@H:25]1[O:26][C:27]([CH3:28])=[O:29].[CH3:1][O:2][c:3]1[cH:4][c:5]([OH:6])[cH:30][cH:31][c:32]1[CH:33]=[O:34]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][C@@H:7]2[O:8][C@H:9]([CH2:10][O:11][C:12]([CH3:13])=[O:14])[C@@H:15]([O:16][C:17]([CH3:18])=[O:19])[C@H:20]([O:21][C:22]([CH3:23])=[O:24])[C@H:25]2[O:26][C:27]([CH3:28])=[O:29])[cH:30][cH:31][c:32]1[CH:33]=[O:34]
US20120122848A1,4,[CH2:10]([CH2:11][O:12][CH2:13][CH2:14][Cl:37])[Cl:36].[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][c:8]1[NH2:9])[CH2:15][C@@H:16]1[C@@H:17]3[CH2:18][CH2:19][CH2:20][CH2:21][C@:22]23[CH2:23][CH2:24][N:25]1[C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]2[c:6]([cH:7][c:8]1[N:9]1[CH2:10][CH2:11][O:12][CH2:13][CH2:14]1)[CH2:15][C@@H:16]1[C@@H:17]3[CH2:18][CH2:19][CH2:20][CH2:21][C@:22]23[CH2:23][CH2:24][N:25]1[C:26](=[O:27])[O:28][CH2:29][c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1
US06239151B1,6,[CH3:1][CH:2]([CH3:3])[CH2:4][C@@H:5]([C:6](=[O:7])[NH:8][N:9]([CH2:10][CH:11]([CH3:12])[CH3:13])[C:14](=[O:15])[C@@H:16]([CH3:17])[OH:18])[C@H:19]([CH2:20]/[CH:21]=[CH:22]/[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[C:29](=[O:30])[NH:31][O:32][CH:36]1[CH2:35][CH2:34][CH2:33][CH2:38][O:37]1>>[CH3:1][CH:2]([CH3:3])[CH2:4][C@@H:5]([C:6](=[O:7])[NH:8][N:9]([CH2:10][CH:11]([CH3:12])[CH3:13])[C:14](=[O:15])[C@@H:16]([CH3:17])[OH:18])[C@H:19]([CH2:20]/[CH:21]=[CH:22]/[c:23]1[cH:24][cH:25][cH:26][cH:27][cH:28]1)[C:29](=[O:30])[NH:31][OH:32]
US20120283254A1,2,[NH2:3][C@H:4]1[CH2:5][CH2:6][C@H:7]([CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][CH2:13][CH2:14][CH:15]2[c:16]2[cH:17][o:18][c:19]3[cH:20][cH:21][cH:22][c:23]-3[cH:24]2)[CH2:25][CH2:26]1.[O:1]=[C:2]([CH:27]1[CH2:28][CH2:29][CH:30]([C:31]([F:32])([F:33])[F:34])[CH2:35][CH2:36]1)[OH:37]>>[O:1]=[C:2]([NH:3][C@H:4]1[CH2:5][CH2:6][C@H:7]([CH2:8][CH2:9][N:10]2[CH2:11][CH2:12][CH2:13][CH2:14][CH:15]2[c:16]2[cH:17][o:18][c:19]3[cH:20][cH:21][cH:22][c:23]-3[cH:24]2)[CH2:25][CH2:26]1)[CH:27]1[CH2:28][CH2:29][CH:30]([C:31]([F:32])([F:33])[F:34])[CH2:35][CH2:36]1
US04599335,1,[CH3:1][CH:2]([CH2:3][Cl:23])[CH2:12][c:13]1[cH:14][cH:15][c:16]([C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][cH:22]1.[NH2:4][C@@H:5]1[CH2:6][CH2:7][CH2:8][CH2:9][C@H:10]1[NH2:11]>>[CH3:1][CH:2]([CH2:3][NH:4][C@@H:5]1[CH2:6][CH2:7][CH2:8][CH2:9][C@H:10]1[NH2:11])[CH2:12][c:13]1[cH:14][cH:15][c:16]([C:17]([CH3:18])([CH3:19])[CH3:20])[cH:21][cH:22]1
US20070141684A1,2,[CH3:1][CH2:2][CH2:3][C@@H:4]([CH3:5])[CH2:6][OH:7].[S:8]([CH3:9])(=[O:10])(=[O:11])[Cl:12]>>[CH3:1][CH2:2][CH2:3][C@@H:4]([CH3:5])[CH2:6][O:7][S:8]([CH3:9])(=[O:10])=[O:11]
US05344845,7,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]=[CH:7][C:8](=[O:9])[NH:10][C@H:11]2[CH2:12][CH2:13][C@H:14]([CH3:15])[CH2:16][CH2:17]2)[cH:18][cH:19][c:20]1[O:21][CH2:22][CH2:23][n:24]1[cH:25][cH:26][n:27][cH:28]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][CH2:7][C:8](=[O:9])[NH:10][C@H:11]2[CH2:12][CH2:13][C@H:14]([CH3:15])[CH2:16][CH2:17]2)[cH:18][cH:19][c:20]1[O:21][CH2:22][CH2:23][n:24]1[cH:25][cH:26][n:27][cH:28]1
US07094789B2,9,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][C@@H:12]([N:13]=[N+:17]=[N-:16])[CH2:14][CH2:15]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[NH:8][C@H:9]1[CH2:10][CH2:11][C@@H:12]([NH2:13])[CH2:14][CH2:15]1
US20140005132A1,3,[CH:1]#[C:2][Mg+:52].[CH:3](=[O:4])[C@H:5]1[CH2:6][CH2:7][C@:8]2([OH:9])[CH:10]3[CH2:11][CH2:12][C@:13]4([OH:14])[CH2:15][C@@H:16]([O:17][C@@H:18]5[O:19][C@@H:20]([CH3:21])[C@H:22]([O:23][CH2:24][O:25][CH3:26])[C@H:27]6[O:28][C:29]([CH3:30])([CH3:31])[O:32][C@@H:33]56)[CH2:34][C@H:35]5[O:36][C:37]([CH3:38])([CH3:39])[O:40][CH2:41][C@@:42]45[CH:43]3[C@H:44]([O:45][CH2:46][O:47][CH3:48])[CH2:49][C@:50]12[CH3:51]>>[CH:1]#[C:2][CH:3]([OH:4])[C@H:5]1[CH2:6][CH2:7][C@:8]2([OH:9])[CH:10]3[CH2:11][CH2:12][C@:13]4([OH:14])[CH2:15][C@@H:16]([O:17][C@@H:18]5[O:19][C@@H:20]([CH3:21])[C@H:22]([O:23][CH2:24][O:25][CH3:26])[C@H:27]6[O:28][C:29]([CH3:30])([CH3:31])[O:32][C@@H:33]56)[CH2:34][C@H:35]5[O:36][C:37]([CH3:38])([CH3:39])[O:40][CH2:41][C@@:42]45[CH:43]3[C@H:44]([O:45][CH2:46][O:47][CH3:48])[CH2:49][C@:50]12[CH3:51]
US20020058665A1,6,[CH3:1][S:2][CH2:3][CH2:4][C@H:5]([NH:6][C:7](=[O:8])[c:9]1[cH:10][c:11]([O:12][CH:13]([CH2:14][c:15]2[cH:16][n:17][cH:18][n:19]2[CH3:20])[c:21]2[n:22][cH:23][cH:24][s:25]2)[cH:26][cH:27][c:28]1[CH2:29][CH2:30][c:31]1[cH:32][cH:33][c:34]([F:35])[cH:36][cH:37]1)[C:38](=[O:39])[O:40][C:42]([CH3:41])([CH3:43])[CH3:44]>>[CH3:1][S:2][CH2:3][CH2:4][C@H:5]([NH:6][C:7](=[O:8])[c:9]1[cH:10][c:11]([O:12][CH:13]([CH2:14][c:15]2[cH:16][n:17][cH:18][n:19]2[CH3:20])[c:21]2[n:22][cH:23][cH:24][s:25]2)[cH:26][cH:27][c:28]1[CH2:29][CH2:30][c:31]1[cH:32][cH:33][c:34]([F:35])[cH:36][cH:37]1)[C:38](=[O:39])[OH:40]
US20130253197A1,3,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([F:7])[c:8]([Cl:9])[c:10]1[C@@H:11]([CH3:12])[c:13]1[cH:14][nH:15][c:16]2[n:17][cH:18][c:19]([B:37]3[O:36][C:34]([CH3:33])([CH3:35])[C:39]([CH3:40])([CH3:41])[O:38]3)[cH:30][c:31]12.[c:20]1([Br:32])[cH:21][n:22]([CH3:23])[n:24][c:25]1[C:26]([F:27])([F:28])[F:29]>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([F:7])[c:8]([Cl:9])[c:10]1[C@@H:11]([CH3:12])[c:13]1[cH:14][nH:15][c:16]2[n:17][cH:18][c:19](-[c:20]3[cH:21][n:22]([CH3:23])[n:24][c:25]3[C:26]([F:27])([F:28])[F:29])[cH:30][c:31]12
US20090176770A1,6,[O:1]=[C:2]([O:3][CH2:57][CH3:56])[CH2:4][N:5]1[CH2:6][CH2:7][CH:8]([CH:9]2[CH2:10][CH2:11][N:12]([C:13](=[O:14])[C@@H:15]([CH2:16][c:17]3[cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30]3)[O:31][C:32](=[O:33])[N:34]3[CH2:35][CH2:36][CH:37]([N:38]4[CH2:39][CH2:40][c:41]5[cH:42][cH:43][cH:44][cH:45][c:46]5[NH:47][C:48]4=[O:49])[CH2:50][CH2:51]3)[CH2:52][CH2:53]2)[CH2:54][CH2:55]1>>[O:1]=[C:2]([OH:3])[CH2:4][N:5]1[CH2:6][CH2:7][CH:8]([CH:9]2[CH2:10][CH2:11][N:12]([C:13](=[O:14])[C@@H:15]([CH2:16][c:17]3[cH:18][c:19]([C:20]([F:21])([F:22])[F:23])[cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30]3)[O:31][C:32](=[O:33])[N:34]3[CH2:35][CH2:36][CH:37]([N:38]4[CH2:39][CH2:40][c:41]5[cH:42][cH:43][cH:44][cH:45][c:46]5[NH:47][C:48]4=[O:49])[CH2:50][CH2:51]3)[CH2:52][CH2:53]2)[CH2:54][CH2:55]1
US09090599B2,2,[NH2:3][CH2:4][c:5]1[n:6][c:7]([C:8]([F:9])([F:10])[F:11])[n:12][o:13]1.[O:1]=[C:2]([c:14]1[cH:15][n:16][c:17]([O:18][C@@H:19]2[CH2:20][CH2:21][O:22][CH2:23]2)[c:24](-[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32]1)[OH:33]>>[O:1]=[C:2]([NH:3][CH2:4][c:5]1[n:6][c:7]([C:8]([F:9])([F:10])[F:11])[n:12][o:13]1)[c:14]1[cH:15][n:16][c:17]([O:18][C@@H:19]2[CH2:20][CH2:21][O:22][CH2:23]2)[c:24](-[c:25]2[cH:26][cH:27][c:28]([Cl:29])[cH:30][cH:31]2)[cH:32]1
